title,skills_desc,application_url,description
Pool Bartender  ,nan,https://www.hospitalityonline.com/jobs/4036349-pool-bartender?src=SNS-102&source=hyatt,job details job location hyatt centric las olas fort lauderdale fl position type part time salary range 11 00 11 00 hourly travel percentage none job shift day job category restaurant food service description overview a kolter hospitality part time bartender delivers service excellence to our guests and creates a welcoming and comfortable environment this position is responsible for setting up preparing and serving beverages weekend shift saturday sunday needed performance expectations prepare beverages according to company recipes and standards including signature cocktails properly check i d shave a thorough knowledge of menus and applicable specials aide in bar promotions engage guests in a cordial efficient and professional manner process and collect payments from guests maintain a clean and organized work environment perform all bar set up and restocking replenishment of bar inventory and supplies perform opening and closing procedures know and comply with food handling and liquor laws report any items in need of repair follow all safety procedures while working behavioral expectations be effective and innovative in handling and solving problems in the workplace remain positive and helpful while working in a fast paced environment committed to the success and growth of the company act honorably even when no one is watching eagerness to grow and or develop within the company passionately provide personalized guest service equal opportunity employer m f veteran disability drug free workplace kolter hospitality participates in e verify qualifications general requirements able to work most weekends and holidays report to work on time and in proper uniform knowledge and or ability to operate a computer experience at least one 1 year of bartending experience preferred education none physical requirements ability to stand walk for up to 8 hours occasional lifting pushing and pulling kolter hospitality is proud to be an equal opportunity employer reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions this description is a summary of primary responsibilities and qualifications the job description is not intended to include all duties or qualifications that may be required now or in the future kolter hospitality is a drug free workplace pre employment drug test and background check required this position is at a location where hyatt is not the employer the employer of individuals working at this hotel may be a third party management company that is responsible for all employment benefits and obligations at this location
Oracle Revenue Lead,nan,,functional expertise in ormb modules such as customer setup billing pricing billingpayments collections general ledger for 4 5 years familiar with ormb technical architecture framework methods web application server businessapplication server and database server design and support real time batch programs knowledge of various deployment models on prem saas and designapproach for integrations with suitable third party applications must have implemented or supported ormb application projects for at least 3 years strong hands on experience on ouaf oracle utilities application framework and integrations java rest xml json oracle database groovy plug in driven batches business services and devising algorithms experience in writing complex sqls in ormb data model must have a solid understanding of ormb configurations enhancement extensions and reporting capabilities must have an understanding of ormb table structure and experience in interface building experience in health insurance enrollment billing aca fully insured performing oracle revenue management and billing ormb functional and technical configuration construction to validate functionality prior to migrating to production and to perform post production release health checks anticipating client concerns and questions and provide timely professional and client focused communications via meetings status reports phone and email and following through with results providing client support on the effective use of production systems participating in the design sessions with in house development staff functional business owners product owners and outside implementation partners should have experience in preparing configuration design documents as per functional modules billing payments price management and adjustment and developing rm b configurations such as service scripts plug in scripts bpa scripts ui maps zones and portal work with qa to create test script scenarios for enhancements and customizations and being involved in end to end testing provide functional and technical production support during and post go live to ensure the quality and timeliness of project deliverables troubleshooting and resolving production issues as needed responsible for uat and production cut over tasks providing production support involving identifying complete job streams and monitoring it during billing and general ledger activities developing the build instructions and working closely with the configuration management team to deploy the solution in an on demand environment performing smoke test after completing the build and deployments on production and other environments reporting if any issues occurred should attend offshore onsite and client meetings as per the requirements should practice and exhibit ust s core values at work humility humanity and integrity should be flexible to work during overlap hours up to 11 00 pm ist based on business requirements
PT Clerk - Produce - 0261,nan,https://giantfood.careerswithus.com/jobs/297783_external_USA-VA-Alexandria/giantfoodrms/alexandria/retail-operations/pt-clerk-produce-0261/?utm_source=Linkedin,address usa va alexandria 3131 duke street store code gf store admin 2502419 who is giant with over 2 million weekly customers and annual sales topping 5 billion giant is the 1 grocer in the baltimore washington area what began as one store on georgia avenue in washington d c in 1936 now has grown to over 160 stores spanning across d c maryland virginia and delaware giant s mission is beyond stocking groceries on shelves we strive to be the most trusted and loved local food retailer in our community primary purpose our stock clerks know about all of our products and what aisle they belong in they also restock and organize the shelves throughout the day when an area needs tidying up they are on it right away they re experts in dairy produce and grocery this is just a general overview of their job duties you may be asked to assist in other ways too depending on the needs of your store why work at giant at giant we love what we do and make it easy for you to love it too every day we build on our over 80 year legacy of innovation quality and value and hard work to keep our top spot in the market and with our customers the most important part of that our people giant s thousands of associates in our stores distribution centers and corporate headquarters have one thing in common the opportunity to advance their career we proudly hire and promote from our own ranks offering opportunities to learn and advance take trainings and earn degrees serve our communities receive recognition for their work and have a career not just a job we proudly host business resource groups brgs six voluntary employee led groups that help build community and are aligned with our mission values goals business practices and objectives the brgs programming is designed to support their members and our associates through social activity volunteering and professional development opportunities our mission is to provide convenient ways for our customers to prepare meals for moments that matter most through meal solutions recipe inspiration time saving services like pickup and delivery and beyond giant also values being a better neighbor one way we support our neighbors is by providing donations and charitable efforts to our local partners that support our main charitable causes we d love for you to become part of the giant family and join us in our journey of being a better place to work a better place to shop and a better neighbor because after all our people truly make us giant job requisition 297783 external usa va alexandria
Director Operations Hospital (Pet/ Human) - Direct Hire - California - Onsite,nan,,hospital director of operationsthis role reports to the senior vice president our client a major pet healthcare company is seeking hospital director of operations to run their largest multispecialty and 24x7 er animal hospital in southern california the hospital has approximately 40 doctors 1 medical director over 200 team members comprised of technicians client care and admin staff that work across 11 medical departments expectation to be onsite 5 days per week mon fri including popping by for evening shifts and on weekends from time to time our client offers one of best benefits packages in the veterinary industry for example the salary range for this role is 150 000 170 000 per year up to 5k quarterly bonus based upon growth and profitability of this hospital day to day responsibilities managing the hospital s financial wellbeing including business planning and revenue management of 25 30m in annual revenue recruiting organizational development working closely with people operations hr and providing employee support coaching correction and development will be high on your agenda team development and training required skills qualifications to be considered possess a bachelor s degree in business hospital administration or a cvpm certification master s degree in business or hospital administration is preferred 10 years of hospital operations experience in a large veterinary hospital setting specialty er experience is a strong plus history of successful fiscal responsibility 25m 35m in annual revenue experience operating a hospital in a hands on manner the director will be in hospital 5 days week and should be flexible to stop in during evening shifts and weekends from time to time experience and familiarity with hr and labor laws must have strong business acumen with skills and experience in business planning revenue management and disciplined reporting are needed leadership and mentorship experience are a must
Technical Support Specialist,nan,,position technical support associateduration 12 month contract to hirepay rate 17 90 20 hourlocation eagan mnschedule hybrid training onsite 4 6 weeks then can go hybrid 3 days in officecitizenship us citizen or greencard must haves experience in a helpdesk retail customer facing rolecan include internship workcompleted it bachelor s degreewill work hybrid eagan modelgreat communication and personalityplusses experience in a tier 1 helpdesk environmentexperience with mechanical issues day to day responsibilities one of insight global s largest chemical manufacturers is seeking to hire a technical support associate for their dishwashing appliances division this person will be part of a tier 1 helpdesk team that will assist cliental directly with mechanical issues with their appliances dishwashers if a solution cannot be found then the person will escalate the issue to the field tech representative solutioning of issues may occur over the phones video email or even teams in the future this role will expand into more technical analysis of data and problem solving of individual iot devices a person seeking to begin their career with an phenomenal fortune 500 company and who is dependable customer centric will be a great fit for this role
Supervisor 1st Shift,nan,https://jobs.jobvite.com/cjlogisticsamerica/job/ogE2sfw8?__jvst=Job+Board&__jvsd=LinkedIn,description are you passionate about warehouse operations are you looking for an opportunity to make an impact in a global company we need people like you to help us hire the best in the business and we re excited to have you join us in this significant role to ensure we continue to build a diverse and engaged workforce come be part of something special at cj logistics warehouse supervisor position overview the warehouse supervisor is responsible for directing and engaging operations employees in cj logistics center to achieve productivity goals the warehouse supervisor will manage a shift and will spend most of the time coaching and leading the operations team to efficiently and safely achieve production and quality goals the role will collaborate with various cj logistics teams on implementing continuous improvement initiatives and leading practices position responsibilities engage the workforceinteract with and motivate the workforceconduct daily shift meetingssolve problems and address issues for employeesregularly communicate team goals and resultslead and engage in site activities and esg eventshold monthly safety meetings with the safety committee lead and participate in site management meetings and employee round tables deliver operational performance including productivity and efficiency targets understand and communicate shift customer and logistics center goalsexecute the daily work plan by adjusting the workflow to meet goalsimplement cj logistics s labor management program performance observations participate and assist in completion of inventory and quality audits provide front line feedback on staffing needs to general manager i and warehouse manager partner with leadership to coordinate supplies ordering and maintenance schedules manage employee performance including safety quality and productivity provide coaching through observations and provide performance feedback track and communicate forklift operator performanceconduct safety observations and participate in safety committee monitor and manage employee time attendance and payroll ensure implementation of leading practicesjob shadow forklift operatorsidentify training and cross training needsconduct on the job training with forklift operators perform process quality checks and program management connect employees to customer business objectives communicate customer specific requirementsreview logistics center performance against customer requirementshelp the forklift operators to feel more connected to the larger customer goals required qualifications and requirements bachelor s degree1 3 years of direct supervisory experienceskills in leadership organization communication and cross functional teamworkemphasis on safety is extremely important preferred understanding of warehousing operations with experience in a distribution and or manufacturing environmentfamiliarity with mhefamiliarity with microsoft office applications including excel and wordfamiliarity with warehouse management systems or red prairie wms is a plus personal qualities ability shift priorities easily and multi task in a highly transactional environmentexcellent problem solving skillsability to engage with the workforce and create a positive environment and culture cj logistics about statement cj logistics delivers integrated and multimodal logistics services connecting every corner of the world via air sea and land as a lead logistics partner llp third party logistics provider 3pl and supply chain consultant we help customers leverage supply chain management as a competitive advantage reducing total system costs transforming business processes improving service and facilitating growth and change with a focus on social responsibility and sustainability through growth with customers and communities we prioritize the wellbeing of the end consumer our customers and our employees cj logistics is responsible for the north america region specializing in solutions for regulated industries such as food and beverage consumer packaged goods healthcare and medical supplies and tire and automotive cj logistics is proud to be an equal employment opportunity and affirmative action employer we prohibit discrimination and or harassment of any type including but not limited to discrimination and or harassment based upon race religion religious creed color national origin ancestry citizenship sex sexual orientation gender gender identity gender expression age pregnancy or relation medical conditions childbirth breastfeeding parental status veteran and or military statue disability physical or mental medical condition genetic information or characteristics political affiliation domestic violence survivor status marital status or other characteristics prohibited by federal state or local law additionally cj logistics participates in the e verify program in certain locations please note this job description is not designed to cover or contain a comprehensive listing of activities duties or responsibilities that are required of the employee for this job duties responsibilities and activities may change at any time with or without notice
Junior Full Stack Developer,nan,,about this role mpch is seeking a dynamic and motivated junior full stack developer with a strong foundation in c c and java programming languages the ideal candidate should have hands on experience with both sql and nosql databases showcasing a solid understanding of web development principles and the ability to work on both frontend and backend technologies the idea candidate will have 3 5 years experience this role offers an exciting opportunity for professional growth within a collaborative and innovative development team prior experience in the digital asset space is a plus exposure to cryptography would also be beneficial company overview founded in 2021 we are at the forefront of the crypto enterprise key management services market through both saas and secure enterprise hardware hosting and services we have established our reputation in the industry after raising 40 million in a series a financing round in august 2022 we continue to evolve and expand our dedicated team of professionals operates globally with key offices in new york and london responsibilities full stack development work on both frontend and backend development tasks to contribute to the full stack of our applications collaborate with cross functional teams to design develop test and deploy software solutions programming languages utilize your proficiency in c c and java to write clean efficient and maintainable code adapt and learn new technologies as required by project demands database management design implement and maintain sql and nosql databases write and optimize database queries to ensure efficient data retrieval and storage web development develop responsive and user friendly web applications using modern frontend technologies html css javascript etc ensure a seamless and visually appealing user experience across different devices collaboration and communication work closely with team members to understand project requirements and contribute to technical discussions understand the agile development process and ceremonies communicate effectively to share progress challenges and solutions with the development team qualifications bachelor s degree in computer science information technology or a related field strong programming skills in c c and java experience with both sql and nosql databases e g mysql postgresql mongodb familiarity with web development frameworks and libraries e g asp net spring knowledge of front end technologies such as html css and javascript understanding of version control systems e g git bitbucket good problem solving skills and attention to detail ability to adapt to new technologies and a willingness to learn strong communication and teamwork skills located in the us uk eu canada why join us at mpch we value commitment expertise and partnership if you have a keen interest in the crypto domain wish to contribute meaningfully to financial decisions and be a part of our journey we welcome your application salary range 75 000 100 000 usd doeequityhealth insurance us uk how to apply please apply directly via linkedin only shortlisted candidates will be contacted for interviews mpch is an equal opportunity employer and encourages candidates from all backgrounds to apply we are committed to creating a diverse and inclusive workplace
Physical Therapist (PT),nan,https://genesisrehabservices.thejobnetwork.com/Job/592648665,physical therapist key information title physical therapist location work environment in facility reporting structure reporting to director of rehab these rates are negotiable and in some cases can be augmented with things like a sign on bonus relocation assistance and or student loan repayment in select markets about the job as a physical therapist you help patients get well you are the person who can bring their power back in doing this you will assess patient needs develop their recovery plans and deliver physical therapy you re a healer and a helper which is why you got into this line of work you re equally adept at addressing the whole patient and seeing them as an individual you know your goal is the design of a program that will restore reinforce and enhance their physical abilities you re adaptable to the needs of the patient and can find joy in the variety of the work and the settings you re a teammate and are looking for collaboration with your peers but you re also happy to make referrals to help your patient get the care they need to thrive you know that being a physical therapist means you re a teacher who can train patients and caregivers on the skills they need to promote independence and productivity if this sounds like you we d love to meet you who is powerback powerback rehabilitation powerback is a new way of delivering recovery rehabilitation respiratory and wellness services to patients across the nation we deliver an empowered approach to achieving your full potential by providing integrated and individualized solutions our reimagined approach to rehabilitation connects directly to the patient experience which is centered on transforming the road to recovery for everyone and helping patients get their power back it s patient centered care that provides a sustainable way of feeling better moving better breathing better and living better why now working in a company that values growth and understands what it means to be a caregiver is refreshing our ceo is a former staff therapist we offer growth paths forward and we are committed to patient centered care we are growing stable and need people like you who have a calling to help people thrive isn t it time for you to work with a team where 86 of them know and feel their work makes a difference so much so we re certified as a 2023 great place to work now is the time for you to join powerback what s next powerback has streamlined our hiring process applying takes 3 minutes give or take you ll hear back from us within 1 business day if you meet the qualifications a recruiter will call you for a 10 minute conversation within 2 3 business days depending on your availability you will then be presented to the hiring manager the hiring manager will reach out within a business day to schedule the interview this all happens within 1 5 business days from the phone screen after your interview the hiring manager makes a quick decision we aim to accomplish this within the week if the hiring manager wants to move forward you will hear from us within a business day because we are excited to get you started pth1 pandologic keywords physical therapist pt location oxnard ca 93033
UI Developer/Designer,nan,,role ui developer designerwork location louisville ky permanent remote duration contract job description description the user interface ui developer is generally focused on the look feel operation user experience and functionality of a commercial website creates internal external company web pages including graphics animation and functionality the user interface ui developer work assignments are varied and frequently require interpretation and independent determination of the appropriate courses of action responsibilities the user interface ui developer designs web page layout and online content user interface graphics icons color schemes content and infrastructure for new product release and new web hosted product offering performs development and maintenance programming for web pages and web applications performs web usability testing partners with web administrator to implement pages or applications into production assures web server and site technical performance develops assesses and communicates website usage and security policies and standards provides technical assistance to site administrators may make hardware and or software purchasing recommendations or decisions regarding web development may perform overall administration of sites at a company wide level understands department segment and organizational strategy and operating objectives including their linkages to related areas makes decisions regarding own work methods occasionally in ambiguous situations and requires minimal direction and receives guidance where needed follows established guidelines procedures required qualifications bachelor s degree 5 years of interface experience as a user designer interaction designer information architect or user experience designer architect strong understanding of interaction design principles and current global ui design pattern standards experience designing with business technical and design guideline constraints experience in working on multiple projects simultaneously demonstrated experience in defining research criteria professional leading or participating in user research and translating user research into design decisions experience creating interactive prototypes must be passionate about contributing to an organization focused on continuously improving consumer experiences must be a strong problem solver preferred qualifications ability to be flexible in a very fluid and dynamic environment must be extremely well organized and capable of handling multiple and sometimes conflicting priorities effectively excellent verbal written and presentation skills familiarity with typescript css tailwinds react javascript node js
Data Analyst,nan,https://app.dataannotation.tech/worker_signup?projects=PROG_SA&worker_src=L&utm_medium=display&utm_source=linkedin&utm_campaign=softwaredeveloper,dataannotation is committed to creating quality ai join our team to help train ai chatbots while gaining the flexibility of remote work and choosing your own schedule we are looking for a proficient data analyst to join our team to train our ai chatbots you will work with the chatbots that we are building in order to measure their progress as well as write and evaluate code in this role you will need to be proficient in at least one programming language python javascript html c c and sql and able to solve coding problems think leetcode hackerrank etc for each coding problem you must be able to explain how your solution solves the problem benefits this is a full time or part time remote positionyou ll be able to choose which projects you want to work onyou can work on your own scheduleprojects are paid hourly starting at 40 usd per hour with bonuses for high quality and high volume work responsibilities come up with diverse problems and solutions for a coding chatbotwrite high quality answers and code snippetsevaluate code quality produced by ai models for correctness and performance qualifications fluency in english native or bilingual proficient in at least one programming language python javascript html c c and sql excellent writing and grammar skillsa bachelor s degree completed or in progress note data annotation payment is made via paypal we will never ask for any money from you paypal will handle any currency conversions from usd
REGISTERED NURSE - WOODLANDS NURSING AND REHABILITATION CENTER,nan,https://www.click2apply.net/WJMGZdF7lBJPlTM52ckOyD,liberty cares with compassion at liberty healthcare and rehabilitation services we promote a challenging but rewarding opportunity in a caring environment we are currently seeking an experienced registered nurse rn part time weekends job description assure quality nursing care for patient by following physician s orders state and federal regulations and this facility s policies and procedures administers all medications oral s q i m or i v as ordered by m d and according to facility policies leads guides and supervises nursing assistants and orderlies assists physicians with rounds as needed drapes remains with and cares for patients during md rounds physical examinations and treatments as necessary performs treatments scheduled during shift and documents appropriately maintains infection control measures as necessary adheres to all regulations pertaining to cleanliness infection control and standard universal precautions assists with research related to the quality of nursing care as assigned assists with records orders and assessment of new admissions unit hall assists with scheduling patients annual physical with attending physician and ensures physicals and documentation of physical are done on a timely basis job requirements registered nurse graduated from an accredited school of nursing current valid license from north carolina board of nursing and submit proof of license renewal every other year provide quality nursing care to patients follow doctor orders genuine interest in geriatric nursing cpr certified yearly attend in service training and other staff meetings as required ability to supervise nursing assistants assuring that work assignments are completed appropriately and timely dependable flexible and able to work and cooperate well with all nursing personnel other departments and have understanding patience and tact in working with patients families doctors and others ability to make decisions regarding nursing problems realizing that errors and incompetence may have serious consequences for patients visit www libertyhealthcareandrehab com for more information background checks drug free workplace eoe pi239312719
Paralegal/Onsite,nan,,high school diplomarequired0legal assistant or paralegal experiencerequired2yearsproficiency with microsoft office suiterequired2yearsable to work independently with excellent attention to detail required0ability to establish effective and cooperative working relationships required0prior experience with microsoft excel highly desired0paralegal certification or coursework highly desired0prior working experience in a state or federal government agency highly desired0prior experience as an executive or lead administrative or legal assistant highly desired0
Lead Assoc 2 - $1.5 and up,nan,https://recruiting.ultipro.com/GOO1029GINNC/JobBoard/9584ad63-6a5e-4450-b8b9-cf6e36aa8d01/OpportunityDetail?opportunityId=ea977336-8362-4d26-892c-5988c4e005af&utm_source=LINKEDIN&utm_medium=referrer,use your skills to transform your local community goodwill industries of northwest north carolina offers numerous career opportunities with competitive pay excellent benefits and the reward of knowing your hard work is helping others why work for goodwill goodwill industries of northwest north carolina inc goodwill is a 501 c 3 nonprofit organization headquartered in winston salem nc we employ more than 1 100 team members who are dedicated to our mission of providing employment and training services that help people find jobs and reach financial stability with 51 retail stores 20 career centers and dozens of attended donation centers across a 31 county territory goodwill is a complex enterprise offering a wide range of career opportunities at goodwill the work we do makes a difference in the lives of the individuals we serve and in turn in the community in which we live our business operations provide stability to our organization that is not always enjoyed by nonprofit organizations solely funded by outside sources our employees enjoy excellent benefits and a unique work environment that is professional fast paced and fulfilling our organization s values shape our culture and guide our interactions with program participants customers and each other our shared commitment to living the mission promoting teamwork driving improvement taking responsibility for actions and behaviors and respecting and appreciating others is what makes us successful and inspires all that we do want to learn more about goodwill please go to our website https www goodwillnwnc org about job description our lead associates provide store leadership in absence of store manager assistant to the manager demonstrating to the store staff our commitment to friendly customer service and team work must show integrity and resourcefulness and enjoy a varied and very fast paced environment lead associates are responsible for the following duties some of which are required only in the absence of other management team closes store reconciles cash with daily sales reports and secures facility for night prepares and maintain records of store operations including daily sales reports cash deposits and opening closing reports and conducts inspections when necessary cash register customer service receiving pricing and stocking donations receivers may occasionally lift and carry up to 50 pounds and frequently lift and carry 10 to 35 pounds hanging inspecting tagging textile clothing in a production style setting education high school diploma or equivalent preferred experience lead or supervisory experience required hours associates should be available to work most store hours especially on evenings and weekends stores are open monday through saturday 9am to 8pm opening at 1pm on sunday pay 16 25 eoe m f vets disability
Project Controls Manager,nan,https://www.w3global.com/candidate-apply.php/PROJECT+CONTROLS+MANAGER-DAVENPORT-IA-US?id=W3GEXT-31217&source=LinkedIn,job description our client is currently seeking a project controls manager for an immediate opening in des moines ia the project controls manager will support the project management team in successful delivery of projects develop budgets monitor and report to external stakeholders on progress and forecast successfully roles and responsibilities oversees employee performance reporting establishing maintenance and reinforce standard operating procedures critical to project completion and schedule during a project and supporting all managers involved with the projectprovide professional guidance and support to project teams to help develop project budgets resource forecasts risk registers progress reports and standardized reporting forms for various professional services contractsprovide specialized direction and recommendations to project teams and management teams for the resolution of diverse project controls issuescompile monitor and report on project financial data including but not limited to planned spend actual spend estimate to complete budget trends project costs profitability etc attend and or facilitate monthly project controls meetings with key project personnelperform data validation and quality checks on project expenses and invoicesfacilitate and support completion of internal quality and reporting requirementscreate and manage change ordersfacilitate development of scope and cost documents across internal and external project teamscompile cst and client specific change management documentationoversee change order submittal negotiation and approval processesdevelop recovery and mitigation plans and manage the execution of the plansperform commercial reviews of the financial impacts of project change ordersworking with the project leads and manager s to provide monthly resource level staff manpower planning dataproviding expert advice relative to how primavera should be used across the company qualifications bachelor s degree in relevant field engineering construction management minimum of 7 years working experience in project management or project controlsproficiency in primavera p6 microsoft excel is requiredexperience presenting recorded data and creating reports
2nd Grade (2 Positions),nan,https://www.applitrack.com/cr/onlineapp/jobpostings/view.asp?all=1&AppliTrackJobId=12568&AppliTrackLayoutMode=detail&AppliTrackViewPosting=1,summary provides instruction in the curricular areas to students in an elementary classroom endorsements elementary classroom k 6 required reading k 8 preferred essential duties and responsibilities essential duties must be performed on site other duties or tasks may be assigned develops and implements programming associated with all content areas to be delivered in a classroom setting for elementary aged students supports and implements the district curriculum standards and benchmarks assists school staff with strategies to support and meet students needs and achievement of academic goals provides active communication and positive relationships with parents and community members assists in planning and delivery of social emotional behavioral school wide programming assists and collaborates with the principal school counselor staff parents and students on matters pertaining to teaching and learning maintains appropriate records and protects the confidentiality of data meets the 8 iowa teaching standards and 42 criteria on a consistent basis reports to work as scheduled on a regular and reliable basis other duties as assigned essential functions to perform this job successfully an individual must be able to perform each essential duty satisfactorily the requirements listed below are representative of the knowledge skill and or ability required reasonable accommodation s may be made to enable individuals with disabilities to perform the essential functions education and or experience bachelor s degree in education required experience in classroom teaching upper elementary preferred in addition the specific skills educational qualifications for this include language skills ability to read analyze interpret and implement ideas contained in technical documents assessment data professional journals and regulations ability to effectively write reports and communications to students colleagues parents and staff ability to effectively present information orally and respond to questions from administrators teachers staff and students ability to assist students in the areas of language and literacy mathematical skills ability to perform basic mathematical functions such as addition subtraction multiplication division percentages decimals and fractions ability to assist students in implementing these mathematical concepts reasoning ability ability to solve problems effectively ability to interpret a variety of instructions furnished in written oral diagram or schedule form required dispositions believes that all children can attain high levels of learning takes responsibility for the learning of our children and his her own performance possesses the knowledge and skills to build effective educational experiences that benefit all children functions in a colaborative manner as an effective member of the educational school team adheres to the principles of an effective team member as described in the plc model applies the principals of continuous improvement through the use of quality tools and processes won t shy from today s educational challenges utilizes effective interpersonal skills has a track record of success works with great integrity certificates licenses registrations iowa teaching certification with an endorsement in content area required other skills and abilities ability to apply knowledge of current research as it relates to the support of the educational goals of the district ability to establish and maintain effective working relationships with students staff and the school community ability to speak clearly and concisely both in oral and written communication ability to perform duties with awareness of all district requirements and board of education policies physical demands the physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions while performing the duties of this job the employee is frequently required to stand walk use hands and fingers to handle and or feel objects tools or controls talk and hear the employee frequently must squat stoop or kneel reach above the head and forward 0 24 inches and on occasion up to 36 inches the employee continuously uses hand strength to grasp items the employee will frequently bend or twist at the neck and trunk more than the average person while performing the duties of this job the employee must frequently lift and or move up to 50 pounds 0 12 feet and occasionally up to 20 feet such as curriculum materials desks chairs and boxes the employee will sometimes push pull items such as tables and carts specific vision abilities required by this job include close vision color vision and the ability to adjust focus while supervising students and working with computers written materials reports assessment data etc work environment the work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job reasonable accommodations may be made too enable individuals with disabilities to perform the essential functions the noise level in the work environment is usually quiet the position requires the commitment of professional working hours that may require the employee to extend beyond a typical 8 00 a m to 4 00 p m workday the employee will frequently work in different areas of the classroom including in at desks on or near the floor standing in movement while supervising indoor and outdoor activities etc the employee will usually work in indoor temperatures but will work outdoors when supervising students outside of the classroom the information contained in this job description is in compliance with the americans with disabilities act a d a and is not an exhaustive list of the duties performed for this position additional duties are performed by the individual holding this position and additional duties may be assigned the cedar rapids community school district is an equal opportunity employer the district does not discriminate on the basis of race creed color gender national origin religion age marital status sexual orientation veteran status or disability federal law obligates an employer to provide reasonable accommodation s for the known disabilities of applicants unless doing so would pose an undue hardship on the employer if you or someone you know requires accommodation in the hiring process contact the executive director of human resources at 319 558 2747
Industrial Maintenance Technician 2nd Processing Night Shift,nan,https://phg.tbe.taleo.net/phg01/ats/careers/v2/viewRequisition?org=BUTTLLC2&source=LinkedIn&rid=14558&cws=39,why work for butterball this is not just a job it s a career we take pride in our employees and our employees take pride in being valued team members at butterball join us today and enjoy these great perks academic tuition reimbursement medical dental vision benefits employee assistance program 401k referral bonus up to 2 000 ask us for details job summary provide mechanical support service in response to operational changes resulting from malfunction breakdown relocation replacement or other modification of existing mechanical systems and or equipment essential functions duties responsibilities must achieve minimum effectiveness level mel within 3 years of hire date assist maintenance team and support all aspects of the maintenance department as needed or directed complete maintenance work orders accurately and on time perform emergency equipment repairs alone and or with assistance of other imt s perform preventive maintenance on plant equipment and machinery work in accordance with quality safety sanitation standards quality polices and guidelines ability to work in a team based environment knowledge skills abilities follow diagrams operation manuals manufacturing instructions and troubleshooting malfunctions complete all appropriate documentation as required by imt system and management communicate with all levels in organization ability to work independently to make decisions with minimal supervision education experience general industrial mechanical maintenance and or electrical system experience preferred high school diploma or ged preferred additional requirements must be able to complete a post offer physical examination successfully in accordance with position functional capacity requirements will be required to work in elevated areas above 4 feet must be able to climb ladder and wear fall protection as necessary butterball llc is an equal opportunity employer and is committed to the fair and impartial treatment of all employees and applicants for employment without regard to gender age race religion color national origin physical or mental disability military veteran status sexual orientation gender identity and expression genetic information marital status parental status pregnancy or any other status protected by law equal opportunity employer disability veteran this position is deemed safety sensitive for purposes of butterball s drug alcohol screening testing policy details will be provided to individuals who receive a conditional job offer or upon request butterball llc is an equal opportunity employer and is committed to the fair and impartial treatment of all employees and applicants for employment without regard to gender age race religion color national origin physical or mental disability military veteran status sexual orientation gender identity and expression genetic information marital status parental status pregnancy or any other status protected by law
